record_id,qid,asin,category,source_file,question,question_type,answerability,candidate_answers,golden_answer,evidence_text,evidence_doc_id,selection_method,needs_judge,golden_id
REC_001,45758,B00E7LVBCE,Electronics,train,My computer is DVI-I.  This monitor is DVI-D.  Is it compatible?,descriptive,1,"[{'text': 'No', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'No', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",No,,,jeffreys,True,G_001
REC_002,349408,B008N7CCJY,Electronics,train,Can I use this for my android tablet in the car,descriptive,1,"[{'text': 'Dear Ann I do not own a tablet,however the purpose of this transmitter is to broadcast a signal thru your car stereo from outside devices, when you carstereo does not have an 3.5mm cable port this is a substitute.So if you are planing to play music thru your tablet ( AND ) if your tablet has a ear phone jack then yes it should work', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Yes you can, But it is too expensive for the quality, very poor quality product.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes if you have a headphone jack on it.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes, you can use it with a tablet. I use it with my Android phone', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""I'm sure you can, as long is it has a standard audio outlet (3.5mm) :)"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Dear Ann I do not own a tablet,however the purpose of this transmitter is to broadcast a signal thru your car stereo from outside devices, when you carstereo does not have an 3.5mm cable port this is a substitute.So if you are planing to play music thru your tablet ( AND ) if your tablet has a ear phone jack then yes it should work","I think it fits the bill perfectly. It does exactly as it describes. It transfer music or recordings from your mps player, ipad, phone, etc. to your car speakers. Pick a channel that works and out comes the sound. Easy to use with little to no set up. Perfect for those of us that have a car in the collection that pre-dates MP3 audio insert on the dashboard.",KB_00016,grounded_pick,False,G_002
REC_003,203251,B008VGQ4VO,Electronics,train,"Can anyone provide the cord length? My CPU is under my desk, and most earbuds only provide about 4', which is too short.",descriptive,1,"[{'text': 'I have the black buds. The cord length is sufficient for me, but I think you need a longer cord than the one supplied with the Klipsch. CBD', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Not any longer on these. For a few bucks, just buy a cord extender. That way you can leave the extender at your desk and take the headphones wherever you need to go.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","I have the black buds. The cord length is sufficient for me, but I think you need a longer cord than the one supplied with the Klipsch. CBD",I recently bought these here and in my opinion....the new flat cord was a terrible idea....I had a pair before these with the round cord and they were great until they developed a short of course....unless you only listen motionless these new one's are worthless....the cord noise is so bad it's ridicules...why they would want to lose good customers like myself is a mystery to me...but they have....,KB_00027,grounded_pick,True,G_003
REC_004,485575,B00C53831I,Electronics,train,Will These Work In My Dell Optiplex GX 620sff?,descriptive,1,"[{'text': ""Yes, they should work on your Dell Optiplex 620. I have a desktop of that vintage and these modules worked on mine. Here's a suggestion: Go to Crucial.com and take advantage of their memory scanner-----this will verify the kind of memory modules your computer needs-----this doesn't commit you to buying theirs."", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Use Crucial Compatibility website. Very friendly to use (website below) - Ferrishttp://www.crucial.com/uk/promo/index.aspx?prog=desktop', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Yes they worked well and my pc is working much better, and faster. I'm not a pc wizard and don't want to be, but must to be able to have comunication with the those who do without buying a new pc. Jesse R."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Yes, they should work on your Dell Optiplex 620. I have a desktop of that vintage and these modules worked on mine. Here's a suggestion: Go to Crucial.com and take advantage of their memory scanner-----this will verify the kind of memory modules your computer needs-----this doesn't commit you to buying theirs.","One needs to be careful in buying memory modules without the advice of the makers of these modules. If you know the exact nomenclature of the description (by a little research) of the modules you need, then it is safe to purchase same. These modules were just what I needed to expand the memory on my Dell desktop computer. Easy to install and ran my memory stress tests with no errors. A good buy at a bargain price.",KB_00033,grounded_pick,False,G_004
REC_005,81065,B006YVFGAS,Electronics,train,Would I need to still buy a converter box for this antenna?,descriptive,1,"[{'text': ""Depends on your display monitor or TV. It needs to have a tuner built in to the display to go without a converter box. If it's an old heavy box CRT TV you will probably need a converter box. If it's a newer LCD TV than you probably don't. In a nutshell, your monitor or TV needs to be able to receive ATSC signals."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Not if you are using newer Tv this just a antenna. If you need converter now you will need again', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'No, not if you have a current television.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'This antenna picks up local HD signals in your area.  I found that the signals I pick up is actually better than what I get with my current cable service.  If you have an HD TV (digital ready TV) you will only need to connect the antenna to the back of your TV and then go into your TV settings to allow your TV to set the channels.  You can go to AntennaWeb.com to find your local stations and those near you and their distance so you can see if you will get decent reception.  Just remember, this is an antenna and will not let you pick up HBO, Showtime, and/or other cable only channels.  Only your locally broadcast channels are available.  Hope this helps.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""mine just plugs directly into the back of the TV, then you just turn it a bit till you get your channels, and also run the channel scan on your menu. If all your channels don't show up, turn the antenna a bit more then rescan til you get all the channels you want."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'It depends on your TV.  This only received Digital signal via air.  If you have a new TV that is capable of getting both analog & digital channels - this is all you need.  Clear, crisp reception.  But for older TV that only get analog channels - you still need a digital converter.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I do not know, however, I believe you would need one if you do not have an hdtv', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I have a HD TV and was able to hook it up direct without a converter box. If its an older TV you would need a converter box.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""My Samsung flatscreen HDTV was manufactured before ATSC tuners became a standard built-in feature, so I've had to use a converter box.  In my case, it's a TiVo box, which I wanted to have anyway because I wanted to record shows."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Depends on your display monitor or TV. It needs to have a tuner built in to the display to go without a converter box. If it's an old heavy box CRT TV you will probably need a converter box. If it's a newer LCD TV than you probably don't. In a nutshell, your monitor or TV needs to be able to receive ATSC signals.","I was a little worried that this antenna would be a waste of money, but I was wrong. After years of pixelation and moving my old rabbit ears around to try to get stations, I wanted to try something better. I have this going in to a digital converter box as I still have a tube TV. After messing around with the placement, I get more channels than before and I no longer have to worry about if where I sit in the room will affect my reception. Very good antenna!",KB_00041,grounded_pick,True,G_005
REC_006,476506,B00CGW74YU,Electronics,train,It appears to be an elastic band around the middle part of the lens. OUESTION: will this band interfere with the lens when  auto focusing?,descriptive,1,"[{'text': 'Not at all. The elastic band can be put on before the rotating segment of the lens that moves during autofocus.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'It shouldnt. You can put the elastic band where you want. I put mine on the rubber grip of the lens. This is the part where you twist to zoom, not the inner portion that moves when auto focusing.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""it shouldn't.  it simply allows for the cap to dangle once you remove it."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Doesn't interfere with my auto focus - the band is only a quarter inch or less in width and is on the main barrel of the lens wherever you choose to locate it."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Put it around a part of the lens that doesn't move.  That area is different for each lens. Another alternative is to attach it to the camera strap."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Depends on the lens, I think. I never use the elastic band attachment. The dangling cap is a distraction. Just put the lens cap in your pocket. When you lose them, buy more. That's why they sell them in packs of four :-)"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'So far it appears to me it does not.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I have no problems with the auto focus with this band on.  I have used it several times', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",Not at all. The elastic band can be put on before the rotating segment of the lens that moves during autofocus.,Many similar elastic band retainers have bee criticized for falling off various lens caps and that may be the result of insufficient pressure when installing them.,KB_00054,grounded_pick,True,G_006
REC_007,49855,B004HW6F9M,Electronics,train,Do you need an amp for it?,descriptive,1,"[{'text': 'Yes you do need an amp for it. I suggest pairing it with a pioneer digital amp. I have 2 of these In my TDI golf 2013 and they save so much space but have higher decibel readings then some of the extensive setups my friends have installed so far.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Yes, you will need an amp. a 50 watt rms worked out well for me. It sounds great.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",Yes you do need an amp for it. I suggest pairing it with a pioneer digital amp. I have 2 of these In my TDI golf 2013 and they save so much space but have higher decibel readings then some of the extensive setups my friends have installed so far.,i read all the reviews before i bought this and didnt see many bad ones. but i had to hear for myself. all i can say is holy crap. this thing is so small and sounds so huge. i have it in a 07 saturn vue running it with a pyramid 1000watt artic amp. if you need space and huuuuge sound buy this. buy it now!!!!!!!! !,KB_00061,grounded_pick,False,G_007
REC_008,60469,B00CAN8ETE,Electronics,train,Has any one tried this with any car stereo 30-pin adapters?,descriptive,1,"[{'text': 'Yes I have hooked it up to a offroad Yamaha side by side stereo. Works great. As long as you have power from the stereo your good. Connects to any Bluetooth device.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""I tried it with my alpine deck. Didn't work. :("", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'It will work with any 30 pin. it works great. We use it with our Bose system  Excellent product', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'It works with most 30 pin adapters.  There are a get radios however that will not use the same protocol and do not work with the NAXA', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Didn't work for our Audi... Works on other applications though."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",Yes I have hooked it up to a offroad Yamaha side by side stereo. Works great. As long as you have power from the stereo your good. Connects to any Bluetooth device.,"This thing never connected to any of my docks or with my car's 30pin cable. I sent it back and ordered the ViseeO Tune2Air WMA1000 which is more expensive, but works perfectly with every device I have and connects instantly in my car for A2DP Stereo Bluetooth music. Do yourself a favor and spend the extra money to get the ViseeO.",KB_00076,grounded_pick,True,G_008
REC_009,141816,B0013V3CQY,Electronics,train,Can this be connected to a laptop anyway to record if so what do I need if not what will I need to get,descriptive,1,"[{'text': 'No the wireless monitor can not be connected to a computer to my knowledge.  I would not recommend you get this product especially if you are planning on wanting to record.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The cables it has are the red and yellow av cables. if you had some sort of adapter, I would assume you could.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes, mine is hooked up to a lap top via an EasyCAP DC60 - USB 2.0 Audio/video Creator Capture High-quality Analog Video and I use a software video capture program to record to the hard drive, however its tedious and I reccomend getting aZmodo PKD-DK4216-500GB H.264 Internet & 3G Phone Accessible 4-Channel DVR with 4 Night Vision Cameras and 500 GB HD for about 100 bucks more for easy recording of surveillance video.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",No the wireless monitor can not be connected to a computer to my knowledge.  I would not recommend you get this product especially if you are planning on wanting to record.,"Even the manual will tell you that if the picture is not coming up clearly just adjust the cables and the monitor position so that it can get a clearer signal. I have also noticed that when I have the video stream running on my 20"" TV it can be a lot easier to view some of the smaller shapes.",KB_00087,grounded_pick,True,G_009
REC_010,276297,B004JKBVBY,Electronics,train,Polaroid GL10 PC Driver Does anyone know if Polaroid has issued a printer driver for PC (Win 7) to allow printing on the GL10?I have emailed the Polaroid Customer Contact with no reply.The product instructions say to contact poloriod.com for the software.  I can't find it on that site.Thanks.,descriptive,1,"[{'text': 'You have to go to, http://www.polaroid.com/en/greylabel and drag the large gray slider bar at the bottom of the page about half way to the right. There you will find links to the Android App, Mac, 32bit and 64bit Windows versions.', 'helpful': 7, 'unhelpful': 0, 'total': 7, 'jeffreys': 0.9375}, {'text': ""This isn't true. I just recieved the printer - immediately sent an image to the printer via bluetooth without installing anything. This printed perfectly.  Further, you can print directly from most cameras using pictbridge. I don't think polaroid can be blamed for Apple's failure to enable bluetooth printing."", 'helpful': 4, 'unhelpful': 0, 'total': 4, 'jeffreys': 0.9}, {'text': ""I'm sure the link posted earlier in this thread worked at one time, but Polaroid changed the software page, which is now here:http://www.polaroid.com/mobile-applications/gl10-appsHow long this link will work is anyone's guess. It's pretty amazing, in a WTF (Worse Than Failure) way, that Polaroid decided to go against the expected behavior of EVERY web site on the planet that sells electronics. It's the ONLY web site I've ever seen that does NOT have a link to software / driver for their product right on the product page itself."", 'helpful': 2, 'unhelpful': 0, 'total': 2, 'jeffreys': 0.8333333333333334}, {'text': ""Thanks for the info.  I have installed the app, but the driver included for the GL10 doesn't install on a Windows 7 machine.  Do you have a different experience?"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'The ""app"" that\'s available for downloading only lets you print through the app i.e. you cannot use the printer with other applications such as iPhoto or Aperture.  This is incredibly limiting and I wouldn\'t recommend buying the GL10 until this is fixed.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'I installed the Polaroid GL10 Win 64-bit application and Microsoft Security Essentials detected (Tool:Win32/Cmdow) and removed a virus.Has anyone else had this situation?', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""I have the same issue and can't find ANYTHING ANYWHERE!!!!???? help!!!!"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'yes i bought one yesterday and am now regretting it.No iPhone support and cant even print via bluetooth or wireless from my mac.Utter rubish', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""There's a Mac application: http://www.polaroid.com/en/greylabel#/module-1008"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I am in the same boat! except for a Mac.Any luck?', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","You have to go to, http://www.polaroid.com/en/greylabel and drag the large gray slider bar at the bottom of the page about half way to the right. There you will find links to the Android App, Mac, 32bit and 64bit Windows versions.","Before noticing the button, I had sent and resent the file multiple times thinking it wasn't working.It took two weeks to find the mythical software on the Polaroid site that allows you to print from your computer. You have to go to polaroid dot com /en/greylabel  That's where you find the software for your PC and android smartphones. If you don't have a cable to print from the computer, one is not supplied. It's a standard cable so I probably have one somewhere.",KB_00091,grounded_pick,True,G_010
